epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,567.657,1.17105,0.74577,1.03778,0.9243,0.89605,0.95479,0.58427,1.30729,0.66567,1.10683,0.007162,0.007162,0.007162
45,582.127,1.17703,0.74802,1.04165,0.92821,0.89675,0.95648,0.58806,1.29936,0.65649,1.1048,0.007096,0.007096,0.007096
46,594.342,1.18502,0.74252,1.03694,0.94203,0.89084,0.96122,0.60272,1.24317,0.6512,1.08722,0.00703,0.00703,0.00703
47,606.305,1.15345,0.71274,1.02204,0.85776,0.72603,0.82308,0.48896,1.3893,0.95591,1.18138,0.006964,0.006964,0.006964
48,617.991,1.16002,0.72114,1.02519,0.95242,0.89993,0.96033,0.62799,1.21745,0.62376,1.0786,0.006898,0.006898,0.006898
49,630.155,1.14775,0.71168,1.02791,0.93391,0.90091,0.95381,0.54393,1.45228,0.66756,1.1539,0.006832,0.006832,0.006832
50,642.583,1.15119,0.70899,1.02875,0.91079,0.86919,0.92585,0.4309,1.79701,0.77751,1.27499,0.006766,0.006766,0.006766
51,654.394,1.17203,0.71039,1.02261,0.92654,0.9056,0.95386,0.5147,1.54233,0.6821,1.17487,0.0067,0.0067,0.0067
52,666.994,1.11979,0.70019,1.00847,0.94677,0.89773,0.95858,0.59926,1.26901,0.62509,1.09131,0.006634,0.006634,0.006634
53,679.459,1.09393,0.67639,1.00751,0.93483,0.88913,0.95294,0.51013,1.58211,0.68617,1.19704,0.006568,0.006568,0.006568
54,691.868,1.10868,0.67866,1.0048,0.83068,0.75699,0.7998,0.26043,2.35206,0.9858,1.53017,0.006502,0.006502,0.006502
55,704.422,1.10736,0.66775,1.01495,0.91055,0.91791,0.95748,0.51714,1.55569,0.67645,1.18378,0.006436,0.006436,0.006436
56,716.844,1.11167,0.67769,1.01568,0.9536,0.91465,0.96819,0.60702,1.27892,0.59262,1.09367,0.00637,0.00637,0.00637
57,729.385,1.10057,0.66382,1.00271,0.94549,0.91288,0.96447,0.6158,1.23872,0.59755,1.07822,0.006304,0.006304,0.006304
58,741.763,1.09128,0.66373,1.0022,0.9386,0.8917,0.95485,0.581,1.33042,0.65672,1.10711,0.006238,0.006238,0.006238
59,754.262,1.05783,0.64523,0.99303,0.92203,0.91392,0.95803,0.53859,1.4827,0.66044,1.16048,0.006172,0.006172,0.006172
60,766.689,1.09095,0.66161,1.00099,0.95683,0.89492,0.95759,0.62333,1.19979,0.60008,1.067,0.006106,0.006106,0.006106
61,779.247,1.05787,0.64939,0.99166,0.92037,0.87908,0.92653,0.39742,1.95044,0.75189,1.34462,0.00604,0.00604,0.00604
62,791.656,1.07405,0.66589,1.00093,0.96191,0.90726,0.96938,0.69541,1.02907,0.55266,1.01781,0.005974,0.005974,0.005974
63,804.286,1.06054,0.63896,0.99353,0.95077,0.9187,0.96962,0.61451,1.25467,0.59717,1.08046,0.005908,0.005908,0.005908
