epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2426.31,1.5669,0.76476,1.09258,0.97913,0.97334,0.98511,0.56494,1.31119,1.44811,0.96247,0.0091684,0.0091684,0.0091684
44,2483.82,1.55664,0.75521,1.08747,0.97744,0.97829,0.98539,0.56217,1.32419,0.83275,0.96965,0.0091486,0.0091486,0.0091486
45,2539.54,1.55114,0.75352,1.08186,0.97731,0.97863,0.98595,0.56785,1.31576,0.81132,0.9637,0.0091288,0.0091288,0.0091288
46,2594.36,1.53597,0.74433,1.08176,0.97421,0.9767,0.98194,0.56679,1.31778,0.78793,0.96375,0.009109,0.009109,0.009109
47,2650.34,1.55155,0.74239,1.08738,0.97783,0.97828,0.98487,0.56587,1.31308,0.90753,0.9626,0.0090892,0.0090892,0.0090892
48,2704.89,1.54433,0.75069,1.0824,0.98198,0.9766,0.98699,0.57424,1.30654,0.64053,0.96069,0.0090694,0.0090694,0.0090694
49,2760.08,1.54155,0.74426,1.08002,0.97784,0.97684,0.98653,0.57103,1.30544,1.17227,0.96012,0.0090496,0.0090496,0.0090496
50,2815.05,1.52734,0.72268,1.07849,0.97243,0.98372,0.98574,0.57265,1.29712,0.61341,0.95682,0.0090298,0.0090298,0.0090298
51,2869.76,1.5332,0.73305,1.07838,0.97878,0.98198,0.98533,0.56842,1.30308,1.02117,0.96032,0.00901,0.00901,0.00901
52,2924.8,1.52935,0.72246,1.07497,0.97825,0.98526,0.98646,0.58179,1.28805,0.64969,0.95377,0.0089902,0.0089902,0.0089902
53,2979.41,1.52421,0.72243,1.07837,0.9756,0.97952,0.98524,0.57824,1.30083,0.6421,0.95638,0.0089704,0.0089704,0.0089704
54,3034.73,1.52162,0.72547,1.07605,0.97974,0.9857,0.98648,0.58248,1.29167,1.29579,0.9552,0.0089506,0.0089506,0.0089506
55,3089.47,1.52087,0.7247,1.07151,0.97497,0.98903,0.98663,0.58163,1.28813,0.84553,0.95388,0.0089308,0.0089308,0.0089308
56,3144.08,1.50448,0.7137,1.06791,0.98002,0.9797,0.98857,0.5837,1.2875,0.92615,0.95336,0.008911,0.008911,0.008911
57,3199.33,1.51602,0.71957,1.07819,0.98041,0.98416,0.98878,0.58245,1.29104,0.60538,0.9538,0.0088912,0.0088912,0.0088912
